title,painter,creation_date,author_gender,author_country,location_name,location_country,time_period,image_path,image_url
title,Miguel Cabrera,1752.0,male,New Spain,Brooklyn Museum,United States of America,,img/img_512/Miguel Cabrera - Don Juan Xavier Joachín Gutiérrez Altamirano Velasco - Google Art Project.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Miguel%20Cabrera%20-%20Don%20Juan%20Xavier%20Joach%C3%ADn%20Guti%C3%A9rrez%20Altamirano%20Velasco%20-%20Google%20Art%20Project.jpg
title,Balthasar van der Ast,,male,Dutch Republic,Palais des Beaux-Arts de Lille,France,,img/img_512/Lille PdBA van der Ast coquillages.JPG,http://commons.wikimedia.org/wiki/Special:FilePath/Lille%20PdBA%20van%20der%20Ast%20coquillages.JPG
title,Juan Gris,1915.0,male,Spain,Solomon R. Guggenheim Museum,United States of America,,img/img_512/GUGG Cherries.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/GUGG%20Cherries.jpg
title,Juan Gris,1917.0,male,Spain,Solomon R. Guggenheim Museum,United States of America,,img/img_512/GUGG Fruit Dish on a Checkered Tablecloth.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/GUGG%20Fruit%20Dish%20on%20a%20Checkered%20Tablecloth.jpg
title,Claude Monet,1884.0,male,France,Hermitage Museum,Russia,,"img/img_512/Jardin à Bordighera, impression de matin -- Claude Monet, 1884, Hermitage.jpg",http://commons.wikimedia.org/wiki/Special:FilePath/Jardin%20%C3%A0%20Bordighera%2C%20impression%20de%20matin%20--%20Claude%20Monet%2C%201884%2C%20Hermitage.jpg
title,Paul Cézanne,1879.0,male,France,Solomon R. Guggenheim Museum,United States of America,,"img/img_512/Paul Cézanne, Still Life -Plate of Peaches, Thannhauser Collection.jpg",http://commons.wikimedia.org/wiki/Special:FilePath/Paul%20C%C3%A9zanne%2C%20Still%20Life%20-Plate%20of%20Peaches%2C%20Thannhauser%20Collection.jpg
title,,,,,Brooklyn Museum,United States of America,,img/img_512/Brooklyn Museum - Horae Beatae Mariae Virginis - 2.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Brooklyn%20Museum%20-%20Horae%20Beatae%20Mariae%20Virginis%20-%202.jpg
title,,,,,Brooklyn Museum,United States of America,,img/img_512/Brooklyn Museum - Horae Beatae Mariae Virginis - 4.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Brooklyn%20Museum%20-%20Horae%20Beatae%20Mariae%20Virginis%20-%204.jpg
title,,,,,Brooklyn Museum,United States of America,,img/img_512/Brooklyn Museum - Horae Beatae Mariae Virginis - 5.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Brooklyn%20Museum%20-%20Horae%20Beatae%20Mariae%20Virginis%20-%205.jpg
title,,,,,Brooklyn Museum,United States of America,,img/img_512/Brooklyn Museum - A Battle Scene - North Italian School.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Brooklyn%20Museum%20-%20A%20Battle%20Scene%20-%20North%20Italian%20School.jpg
title,Gerard ter Borch,,male,Dutch Republic,Brooklyn Museum,United States of America,,img/img_512/Brooklyn Museum - Woman Pouring Wine - Gerard ter Borch II.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Brooklyn%20Museum%20-%20Woman%20Pouring%20Wine%20-%20Gerard%20ter%20Borch%20II.jpg
title,Henri de Toulouse-Lautrec,1893.0,male,France,Brooklyn Museum,United States of America,,img/img_512/Brooklyn Museum - Miss Loïe Fuller - Henri de Toulouse-Lautrec.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Brooklyn%20Museum%20-%20Miss%20Lo%C3%AFe%20Fuller%20-%20Henri%20de%20Toulouse-Lautrec.jpg
title,Albert Gleizes,1914.0,male,France,Solomon R. Guggenheim Museum,United States of America,,"img/img_512/Albert Gleizes, 1914-15, Portrait of an Army Doctor (Portrait d'un médecin militaire), structural schematic.jpg",http://commons.wikimedia.org/wiki/Special:FilePath/Albert%20Gleizes%2C%201914-15%2C%20Portrait%20of%20an%20Army%20Doctor%20%28Portrait%20d%27un%20m%C3%A9decin%20militaire%29%2C%20structural%20schematic.jpg
title,Vincent van Gogh,1886.0,male,Kingdom of the Netherlands,Van Gogh Museum,Netherlands,,img/img_512/Vaas met Chinese asters en tuingladiolen - s0177V1962 - Van Gogh Museum.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Vaas%20met%20Chinese%20asters%20en%20tuingladiolen%20-%20s0177V1962%20-%20Van%20Gogh%20Museum.jpg
title,Vincent van Gogh,1886.0,male,Kingdom of the Netherlands,Van Gogh Museum,Netherlands,,img/img_512/Flesje met pioenrozen en blauwe ridderspoor - s0182V1962 - Van Gogh Museum.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Flesje%20met%20pioenrozen%20en%20blauwe%20ridderspoor%20-%20s0182V1962%20-%20Van%20Gogh%20Museum.jpg
title,Vincent van Gogh,1887.0,male,Kingdom of the Netherlands,Van Gogh Museum,Netherlands,,img/img_512/Appels - s0131V1962 - Van Gogh Museum.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Appels%20-%20s0131V1962%20-%20Van%20Gogh%20Museum.jpg
title,Vincent van Gogh,1887.0,male,Kingdom of the Netherlands,Van Gogh Museum,Netherlands,,img/img_512/Bloempot met Chinese bieslook - s0183V1962 - Van Gogh Museum.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Bloempot%20met%20Chinese%20bieslook%20-%20s0183V1962%20-%20Van%20Gogh%20Museum.jpg
title,Vincent van Gogh,1887.0,male,Kingdom of the Netherlands,Van Gogh Museum,Netherlands,,img/img_512/Schotel met citrusvruchten - s0193V1962 - Van Gogh Museum.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Schotel%20met%20citrusvruchten%20-%20s0193V1962%20-%20Van%20Gogh%20Museum.jpg
title,Vincent van Gogh,1887.0,male,Kingdom of the Netherlands,Rijksmuseum,Netherlands,,img/img_512/Karaf en schotel met citrusvruchten - s0020V1962 - Van Gogh Museum.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Karaf%20en%20schotel%20met%20citrusvruchten%20-%20s0020V1962%20-%20Van%20Gogh%20Museum.jpg
